ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Date,Year,Month,Day_of_Week,Hour
A-225531,2,2021-12-13 09:30:00,2021-12-13 10:41:00,45.455955,-122.712407,45.475834000000006,-122.678519,2.141,Stationary traffic on Pacific Highway 1 N - I-5 N from Taylors Ferry Rd/Exit 295 (I-5) to Corbett Ave/Exit 298 (I-5) due to accident.,,I-5 N,R,Portland,Multnomah,OR,97219,US,US/Pacific,KPDX,2021-12-13 09:53:00,41.0,37.0,86.0,29.39,6.0,ESE,6.0,0.03,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-12-13,2021,12,0,9
A-225804,2,2021-06-30 20:15:55,2021-06-30 21:15:55,45.465103000000006,-122.579032,45.465101,-122.579319,0.0139999999999999,A crash has the Southbound right lane closed use caution.,8101.0, SE 82nd Ave,R,Portland,Multnomah,OR,97266-6501,US,US/Pacific,KPDX,2021-06-30 19:53:00,75.0,75.0,57.0,29.9,10.0,NNW,6.0,0.0,Cloudy,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-30,2021,6,2,20
A-225982,2,2021-12-06 10:11:14,2021-12-06 19:15:31,45.594922,-122.684128,45.553626,-122.678731,2.865,The highway is closed at Victory Blvd; a detour is in place. Use an alternate route.,,N Victory Blvd,R,Portland,Multnomah,OR,97217,US,US/Pacific,KVUO,2021-12-06 10:01:00,40.0,34.0,100.0,30.07,4.0,E,8.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-12-06,2021,12,0,10
A-226127,2,2021-07-23 09:36:30,2021-07-23 19:26:00,45.473572,-122.56531499999998,45.59718400000001,-122.550071,8.573,Stationary traffic on Veterans Memorial Fwy N - I-205 N - E Portland Fwy N from Johnson Creek Blvd/Exit 16 (I-205) to WA-14/Exit 27 (I-205) due to accident.,,E Portland Fwy N,R,Portland,Multnomah,OR,97266,US,US/Pacific,KPDX,2021-07-23 09:53:00,66.0,66.0,56.0,30.23,10.0,VAR,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-07-23,2021,7,4,9
A-226270,2,2021-08-06 12:16:02,2021-08-06 21:01:02,45.521732,-122.665497,45.529242,-122.665167,0.519,There is a pothole in the lane of travel causing a hazard. Use caution.,,I-5 N,R,Portland,Multnomah,OR,97214,US,US/Pacific,KPDX,2021-08-06 11:53:00,71.0,71.0,73.0,30.08,10.0,SSE,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-08-06,2021,8,4,12
A-226271,2,2021-03-07 12:09:00,2021-03-07 15:28:00,45.521744,-122.665507,45.52442,-122.665319,0.185,Stationary traffic on Pacific Highway 1 N - I-5 N from OR-99E/Exit 300 (I-5) to I-84/US-30/Exit 301 (I-5) due to accident.,,I-5 N,R,Portland,Multnomah,OR,97214,US,US/Pacific,KPDX,2021-03-07 11:53:00,47.0,42.0,71.0,30.16,10.0,SW,10.0,0.01,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-03-07,2021,3,6,12
A-226278,2,2021-11-12 19:52:59,2021-11-12 21:52:59,45.601104,-122.6835,45.605844,-122.68208,0.335,A disabled vehicle is creating a hazard. Use caution.,,I-5 N,R,Portland,Multnomah,OR,97217,US,US/Pacific,KVUO,2021-11-12 19:53:00,58.0,58.0,97.0,30.24,7.0,CALM,0.0,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2021-11-12,2021,11,4,19
A-226473,2,2021-03-18 12:45:30,2021-03-18 21:07:00,45.574647,-122.545934,45.597177,-122.550054,1.569,Slow traffic on Veterans Memorial Fwy N - I-205 N - E Portland Fwy N from Airport Way/Exit 24 (I-205) to WA-14/Exit 27 (I-205) due to accident.,,Glenn L Jackson Memorial Bridge,R,Portland,Multnomah,OR,97230,US,US/Pacific,KTTD,2021-03-18 12:53:00,60.0,60.0,42.0,29.79,10.0,E,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-03-18,2021,3,3,12
A-226555,2,2021-12-14 05:48:06,2021-12-14 06:48:06,45.562673,-122.578421,45.56265300000001,-122.576921,0.073,A crash has the WB right lane closed at 82nd Avenue. Use caution.,8133.0, NE Killingsworth St,L,Portland,Multnomah,OR,97218-4031,US,US/Pacific,KPDX,2021-12-14 05:53:00,37.0,32.0,82.0,29.77,10.0,SE,6.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2021-12-14,2021,12,1,5
A-226556,2,2021-03-25 21:28:30,2021-03-25 23:13:30,45.562666,-122.588871,45.562661,-122.588072,0.039,Incident on US-30-BYP EB near MP 9 Drive with caution.,7198.0, NE Killingsworth St,R,Portland,Multnomah,OR,97218-3326,US,US/Pacific,KPDX,2021-03-25 21:53:00,48.0,48.0,71.0,30.08,10.0,NNW,3.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2021-03-25,2021,3,3,21
