Distance(mi),Crossing,Junction,Traffic_Calming,Visibility(mi),Sunrise_Sunset,Month,Day_of_Week,Hour,Severity,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Wind_Speed(mph),Precipitation(in),Weather_Condition_Cloudy,Weather_Condition_Fair,Weather_Condition_Fog,Weather_Condition_Rain,Weather_Condition_Snow,Weather_Condition_Thunder,Weather_Condition_Wintry Mix,cluster_location_0,cluster_location_1,cluster_location_2,cluster_location_3,cluster_location_4,cluster_location_5,cluster_location_6,cluster_location_7,cluster_location_8,cluster_location_9
2.141,0,1,0,1.791759469228055,1,12,0,9,2,41.0,37.0,86.0,29.39,6.0,0.03,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0139999999999999,0,0,0,2.302585092994046,1,6,2,20,2,75.0,75.0,57.0,29.9,6.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2.865,0,0,0,1.3862943611198906,1,12,0,10,2,40.0,34.0,100.0,30.07,8.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8.573,0,0,0,2.302585092994046,1,7,4,9,2,66.0,66.0,56.0,30.23,6.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.519,0,0,0,2.302585092994046,1,8,4,12,2,71.0,71.0,73.0,30.08,5.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.185,0,0,0,2.302585092994046,1,3,6,12,2,47.0,42.0,71.0,30.16,10.0,0.01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.335,0,0,0,1.9459101490553132,0,11,4,19,2,58.0,58.0,97.0,30.24,0.0,0.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.569,0,0,0,2.302585092994046,1,3,3,12,2,60.0,60.0,42.0,29.79,6.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.073,1,0,0,2.302585092994046,0,12,1,5,2,37.0,32.0,82.0,29.77,6.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.039,1,0,0,2.302585092994046,0,3,3,21,2,48.0,48.0,71.0,30.08,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.593,0,0,0,2.302585092994046,1,7,3,17,2,79.0,79.0,40.0,29.96,8.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.284,0,0,0,2.302585092994046,1,4,1,15,2,61.0,61.0,34.0,30.04,7.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.124,0,0,0,2.302585092994046,1,6,1,17,2,95.0,95.0,24.0,29.82,8.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.063,0,0,0,2.302585092994046,1,9,2,10,2,62.0,62.0,58.0,29.97,8.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.083,0,0,0,2.302585092994046,1,6,2,20,2,75.0,75.0,57.0,29.9,6.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.247,0,0,0,2.302585092994046,0,11,4,17,2,61.0,61.0,83.0,30.21,7.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.397,0,1,0,2.302585092994046,1,12,1,15,2,42.0,37.0,67.0,30.01,9.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.15,0,0,0,2.302585092994046,1,9,6,16,2,75.0,75.0,41.0,30.08,13.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.19,0,0,0,2.302585092994046,1,8,2,15,2,97.0,97.0,29.0,29.88,12.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.155,0,0,0,2.302585092994046,1,6,2,18,2,76.0,76.0,58.0,29.88,7.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.964,0,0,0,0.6931471805599453,1,10,5,16,2,53.0,53.0,93.0,29.67,9.0,0.03,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.3680000000000003,0,0,0,2.302585092994046,1,6,3,12,2,73.0,73.0,49.0,30.01,3.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.429,0,1,0,2.302585092994046,1,3,5,7,2,41.0,38.0,86.0,30.06,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.505,0,0,0,2.302585092994046,1,12,0,11,2,42.0,42.0,85.0,29.36,3.0,0.03,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.752,0,0,0,2.302585092994046,0,9,1,20,2,74.0,74.0,45.0,29.88,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.609,0,1,0,2.302585092994046,1,4,0,8,2,51.0,51.0,77.0,29.9,7.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.46,1,1,0,2.302585092994046,1,9,6,15,2,63.0,63.0,78.0,30.1,5.0,0.26,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.602,0,0,0,2.302585092994046,1,12,1,14,2,44.0,39.0,63.0,29.84,9.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.128,0,0,0,2.302585092994046,1,7,2,18,2,93.0,93.0,24.0,29.96,8.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.528,0,0,0,2.302585092994046,1,5,2,5,2,47.0,45.0,86.0,30.06,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.928,0,0,0,2.302585092994046,0,4,3,6,2,40.0,37.0,97.0,30.01,5.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.863,0,0,0,2.302585092994046,1,12,5,14,2,50.0,50.0,80.0,29.84,14.0,0.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.452,0,0,0,2.302585092994046,1,9,5,12,2,73.0,73.0,48.0,29.88,7.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.165,0,0,0,2.302585092994046,1,6,0,13,2,66.0,66.0,75.0,30.01,7.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.759,0,0,0,2.302585092994046,1,10,0,15,2,68.0,68.0,61.0,29.8,3.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.382,0,0,0,2.302585092994046,1,4,4,7,2,49.0,47.0,66.0,30.0,6.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.185,0,0,0,2.302585092994046,1,9,0,7,2,59.0,59.0,87.0,29.81,7.0,0.02,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0559999999999999,0,0,0,1.791759469228055,0,10,2,3,2,53.0,53.0,93.0,29.62,7.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.617,0,0,0,2.302585092994046,1,9,4,13,2,72.0,72.0,28.0,29.79,13.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.491,0,0,0,2.302585092994046,1,9,2,13,2,80.0,80.0,32.0,29.99,9.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.4580000000000002,0,0,0,2.302585092994046,1,7,2,11,2,64.0,64.0,70.0,30.07,6.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.528,0,1,0,2.302585092994046,1,6,5,16,2,66.0,66.0,40.0,30.06,12.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.209,0,0,0,2.302585092994046,1,11,2,15,2,57.0,57.0,67.0,29.91,7.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.015,0,0,0,2.302585092994046,1,9,3,10,2,71.0,71.0,61.0,29.9,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.263,0,0,0,1.791759469228055,0,12,5,16,2,51.0,51.0,80.0,29.86,13.0,0.05,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.541,0,0,0,1.6094379124341003,0,10,4,4,2,50.0,50.0,100.0,29.99,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.1119999999999999,0,0,0,2.302585092994046,0,11,1,19,2,56.0,56.0,84.0,30.29,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.322,0,1,0,2.302585092994046,1,11,5,15,2,52.0,52.0,57.0,30.48,7.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.498,0,0,0,2.302585092994046,1,6,2,14,2,80.0,80.0,36.0,29.88,9.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.221,0,0,0,2.302585092994046,1,7,4,9,2,75.0,75.0,53.0,29.95,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.755,0,1,0,2.0794415416798357,0,12,1,17,2,41.0,41.0,93.0,29.78,3.0,0.01,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9.192,0,0,0,2.302585092994046,1,12,3,10,2,46.0,41.0,71.0,29.58,9.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.032,1,0,0,2.0794415416798357,0,12,5,2,2,45.0,40.0,82.0,29.82,9.0,0.05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0969999999999999,0,0,0,2.302585092994046,0,12,5,23,2,40.0,40.0,100.0,29.37,0.0,0.05,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.907,0,0,0,2.302585092994046,1,11,1,14,2,50.0,50.0,59.0,30.38,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.085,1,0,0,1.9459101490553132,0,3,2,19,2,48.0,48.0,61.0,29.75,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.7340000000000001,0,1,0,2.302585092994046,1,6,5,15,2,67.0,67.0,42.0,30.08,20.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.513,0,0,0,2.302585092994046,1,11,2,9,2,53.0,53.0,71.0,30.03,8.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.247,1,0,0,2.302585092994046,1,3,0,18,2,50.0,50.0,39.0,30.33,14.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.368,0,1,0,2.302585092994046,1,7,5,19,2,86.0,86.0,40.0,29.78,17.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.243,0,1,0,2.302585092994046,1,5,0,6,2,49.0,49.0,80.0,30.08,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.104,0,0,0,2.302585092994046,0,11,0,18,2,49.0,44.0,69.0,30.07,12.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.4539999999999999,0,0,0,2.302585092994046,1,12,3,16,2,47.0,45.0,77.0,30.06,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1,0,0,0,2.302585092994046,1,7,1,14,2,82.0,82.0,42.0,30.01,5.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0819999999999999,1,0,0,2.302585092994046,1,3,3,12,2,53.0,53.0,71.0,29.62,5.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.55,0,1,0,2.302585092994046,1,5,1,16,2,68.0,68.0,39.0,29.99,6.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.932,0,0,0,2.302585092994046,0,6,2,4,2,52.0,52.0,86.0,30.1,5.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.295,0,0,0,2.302585092994046,0,9,1,20,2,57.0,57.0,77.0,30.11,5.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.368,0,0,0,2.302585092994046,1,3,0,9,2,47.0,44.0,80.0,30.1,6.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.09,1,0,0,2.0794415416798357,1,10,1,8,2,42.0,39.0,89.0,30.23,5.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2.822,0,1,0,2.302585092994046,1,2,6,11,2,52.0,52.0,57.0,30.31,8.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.147,0,0,0,2.302585092994046,1,8,0,14,2,68.0,68.0,39.0,29.96,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.382,0,0,0,2.1972245773362196,1,5,0,17,2,59.0,59.0,75.0,30.15,6.0,0.01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2.485,0,0,0,2.302585092994046,1,3,2,14,2,60.0,60.0,42.0,29.95,6.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0409999999999999,1,0,0,2.302585092994046,1,8,4,15,2,79.0,79.0,56.0,30.02,7.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.094,1,0,0,2.302585092994046,1,10,2,16,2,63.0,63.0,56.0,29.96,12.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.071,1,0,0,2.302585092994046,1,9,2,17,2,69.0,69.0,32.0,30.03,15.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.299,0,0,0,2.302585092994046,1,3,0,8,2,45.0,43.0,86.0,30.09,5.0,0.01,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.047,1,0,0,2.302585092994046,0,3,0,6,2,37.0,37.0,86.0,30.14,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.122,0,0,0,2.302585092994046,1,12,1,15,2,44.0,40.0,63.0,29.86,7.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.292,0,0,0,2.302585092994046,0,11,6,18,2,60.0,60.0,69.0,30.17,7.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.87,1,0,0,2.302585092994046,1,11,1,13,2,51.0,51.0,68.0,30.15,10.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.893,0,0,0,2.302585092994046,1,5,4,19,2,65.0,65.0,45.0,30.15,13.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.01,1,0,0,2.302585092994046,0,3,3,2,2,45.0,43.0,80.0,29.86,5.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2.3680000000000003,0,0,0,2.302585092994046,1,7,2,11,2,64.0,64.0,67.0,30.05,7.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
