Distance(mi),cluster_location,Crossing,Junction,Traffic_Calming,Visibility(mi),Sunrise_Sunset,Weather_Condition,Month,Day_of_Week,Hour,Severity,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Wind_Speed(mph),Precipitation(in)
2.141,2,0,1,0,1.791759469228055,1,Rain,12,0,9,2,41.0,37.0,86.0,29.39,6.0,0.03
0.0139999999999999,0,0,0,0,2.302585092994046,1,Cloudy,6,2,20,2,75.0,75.0,57.0,29.9,6.0,0.0
2.865,9,0,0,0,1.3862943611198906,1,Rain,12,0,10,2,40.0,34.0,100.0,30.07,8.0,0.0
8.573,0,0,0,0,2.302585092994046,1,Fair,7,4,9,2,66.0,66.0,56.0,30.23,6.0,0.0
0.519,1,0,0,0,2.302585092994046,1,Cloudy,8,4,12,2,71.0,71.0,73.0,30.08,5.0,0.0
0.185,1,0,0,0,2.302585092994046,1,Fair,3,6,12,2,47.0,42.0,71.0,30.16,10.0,0.01
0.335,9,0,0,0,1.9459101490553132,0,Rain,11,4,19,2,58.0,58.0,97.0,30.24,0.0,0.01
1.569,5,0,0,0,2.302585092994046,1,Cloudy,3,3,12,2,60.0,60.0,42.0,29.79,6.0,0.0
0.073,5,1,0,0,2.302585092994046,0,Fair,12,1,5,2,37.0,32.0,82.0,29.77,6.0,0.0
0.039,5,1,0,0,2.302585092994046,0,Cloudy,3,3,21,2,48.0,48.0,71.0,30.08,3.0,0.0
0.593,5,0,0,0,2.302585092994046,1,Fair,7,3,17,2,79.0,79.0,40.0,29.96,8.0,0.0
0.284,4,0,0,0,2.302585092994046,1,Fair,4,1,15,2,61.0,61.0,34.0,30.04,7.0,0.0
0.124,1,0,0,0,2.302585092994046,1,Fair,6,1,17,2,95.0,95.0,24.0,29.82,8.0,0.0
0.063,7,0,0,0,2.302585092994046,1,Fair,9,2,10,2,62.0,62.0,58.0,29.97,8.0,0.0
0.083,0,0,0,0,2.302585092994046,1,Cloudy,6,2,20,2,75.0,75.0,57.0,29.9,6.0,0.0
1.247,6,0,0,0,2.302585092994046,0,Cloudy,11,4,17,2,61.0,61.0,83.0,30.21,7.0,0.0
0.397,1,0,1,0,2.302585092994046,1,Cloudy,12,1,15,2,42.0,37.0,67.0,30.01,9.0,0.0
0.15,1,0,0,0,2.302585092994046,1,Fair,9,6,16,2,75.0,75.0,41.0,30.08,13.0,0.0
0.19,1,0,0,0,2.302585092994046,1,Fair,8,2,15,2,97.0,97.0,29.0,29.88,12.0,0.0
